id,regioni,tipologia
15401,Abruzzo,Metanodotti
15380,Sicilia,Fotovoltaici
15377,Molise,Impianti eolici onshore
15373,Sicilia,Fotovoltaici
15713,Sicilia,Fotovoltaici
15376,Lazio,Centrali
15676,Trentino Alto Adige,Centrali
15877,Liguria,Opere portuali e vie navigabili
15340,Sardegna,Opere portuali e vie navigabili
15382,Lombardia,Centrali
15337,Molise,Impianti eolici onshore
15352,Puglia,Impianti eolici onshore
15336,Sicilia,Fotovoltaici
15333,Sardegna,Fotovoltaici
15334,Marche,Opere stradali
15374,Veneto,Opere stradali
15370,Sicilia,Impianti eolici offshore
15342,Liguria,Opere portuali e vie navigabili
15399,Puglia,Fotovoltaici
15318,Campania,Fotovoltaici
15348,Molise,Impianti eolici onshore
15956,Veneto,Opere ferroviarie
15367,Veneto,Impianti di rigassificazione
15335,Puglia,Fotovoltaici
15696,Puglia,Impianti eolici onshore
15314,Puglia,Impianti eolici onshore
15327,Sicilia,Opere portuali e vie navigabili
15344,Sicilia,Impianti eolici onshore
15364,Sardegna,Opere portuali e vie navigabili
15320,Puglia,Fotovoltaici
15346,Liguria,Opere stradali
15301,Sardegna,Fotovoltaici
15312,Sardegna,Fotovoltaici
15305,Sicilia,Fotovoltaici
15304,Sicilia,Fotovoltaici
15368,Puglia,Centrali
15353,Veneto,Fotovoltaici
15306,Calabria,Impianti eolici onshore
15308,Puglia,Impianti eolici onshore
15350,Liguria,Centrali
15302,Abruzzo,Opere portuali e vie navigabili
15293,Abruzzo,Impianti eolici offshore
15288,Sicilia,Opere portuali e vie navigabili
15702,Puglia,Impianti eolici onshore
15285,Puglia,Impianti eolici onshore
15329,Basilicata,Opere stradali
15331,Abruzzo,Opere portuali e vie navigabili
15349,Lombardia,Aeroporti
15289,Puglia,Impianti eolici onshore
15295,Sardegna,Impianti eolici onshore
15283,Puglia,Impianti eolici onshore
15290,Molise,Impianti eolici onshore
15266,Puglia,Fotovoltaici
15332,Lombardia,Aeroporti
15316,Umbria,Opere stradali
15267,Puglia,Fotovoltaici
15354,Lazio,Impianti di rigassificazione
15338,Umbria,Opere stradali
15275,Lazio,Impianti eolici onshore
15311,Lombardia,Centrali
15260,Veneto,Fotovoltaici
15255,Puglia,Fotovoltaici
15263,Sicilia,Impianti eolici onshore
15257,Sicilia,Fotovoltaici
15254,Sardegna,Fotovoltaici
15339,Puglia,Fotovoltaici
15292,Toscana,Impianti eolici onshore
15256,Sicilia,Impianti eolici onshore
15272,Sardegna,Opere stradali
15747,Emilia Romagna,Elettrodotti
15747,Toscana,Elettrodotti
15264,Lombardia,Centrali
15355,Sardegna,Opere portuali e vie navigabili
15265,Friuli Venezia Giulia,Centrali
15243,Sicilia,Fotovoltaici
15245,Sicilia,Fotovoltaici
15297,Calabria,Opere portuali e vie navigabili
15268,Sardegna,Fotovoltaici
15269,Sicilia,Aeroporti
15273,Sicilia,Fotovoltaici
15280,Campania,Opere portuali e vie navigabili
15271,Sardegna,Fotovoltaici
15244,Campania,Impianti eolici onshore
15251,Veneto,Aeroporti
15234,Emilia Romagna,Interporti
15249,Puglia,Impianti eolici onshore
15258,Sardegna,Impianti di rigassificazione
15236,Puglia,Fotovoltaici
15235,Sardegna,Fotovoltaici
15230,Sardegna,Fotovoltaici
15231,Sardegna,Impianti eolici onshore
15428,Friuli Venezia Giulia,Fotovoltaici
15228,Sicilia,Fotovoltaici
15226,Sardegna,Fotovoltaici
15358,Basilicata,Impianti di trattamento e stoccaggio temporaneo rifiuti radioattivi
15239,Veneto,Opere stradali
15222,Sardegna,Fotovoltaici
15220,Puglia,Impianti eolici onshore
15262,Campania,Opere ferroviarie
